Servidor;IDEN1;EXT1;AMO1;IM1;INTEG1;INTRO1;IDEN2;IM2;EXT2;INTEG2;INTRO2;AMO2;INTRO3;IDEN3;IM3;EXT3;AMO3;INTEG3;MPS1;MPS2;MPS3;MPS4;MPS5;CP1;CP2;CP3;CP4;CV1;CV2;CC1;CV3;CV4;CV5;CC2;CV6;CC3;CV7;CC4;CN3;CV8;CV9;CC5;SV1;SV2;SV3;SV4;SV5;Sexo;Ano;Escolaridade;Salario;Tempo;Area;Esfera;Poder;Carimbo
Sim;4;3;1;5;5;4;5;4;3;5;1;4;5;4;4;4;3;4;5;5;5;4;5;4;4;5;4;5;5;4;3;4;5;5;4;4;4;5;1;4;5;1;4;4;4;4;4;Masculino;1966 a 1975;Mestre;Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Executivo;2020-06-24 09:53:00.000
Sim;5;5;4;5;5;1;5;5;4;5;4;2;5;5;4;5;1;5;5;4;5;4;4;4;4;4;4;4;5;3;4;4;5;5;5;1;5;1;2;4;4;1;5;4;5;5;4;Feminino;1986 a 1995;Mestre;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Educação;Federal;Executivo;2020-06-18 01:21:00.000
Sim;4;3;4;5;5;3;4;4;3;5;2;3;4;1;4;5;1;5;5;4;2;4;3;5;5;4;1;5;3;5;2;1;5;4;1;5;2;1;5;5;4;1;3;3;3;4;4;Feminino;1966 a 1975;Mestre;Entre 10 e 14 salários mínimos;Entre 16 e 20 anos;Outros;Outra;Executivo;2020-06-18 01:20:00.000
Sim;2;4;1;5;1;2;4;5;4;3;4;1;5;4;5;5;1;4;5;4;4;5;5;4;4;4;4;5;5;1;1;5;5;3;5;1;5;1;2;5;5;1;4;4;5;4;5;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Executivo;2020-06-16 11:40:00.000
Sim;4;4;1;5;5;4;5;5;4;5;5;1;4;5;5;4;1;5;4;5;5;5;5;5;4;5;4;5;5;1;1;5;5;2;5;5;4;1;2;5;5;1;5;5;5;5;5;Feminino;1966 a 1975;Mestre;Mais de 15 salários mínimos;Entre 16 e 20 anos;Administrativa;Federal;Outro;2020-06-24 00:23:00.000
Sim;1;2;3;2;1;1;2;2;4;1;5;1;1;1;1;5;1;1;3;3;2;1;4;4;2;2;5;1;3;5;1;1;5;1;1;5;5;5;4;3;4;1;4;5;5;5;4;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Administrativa;Estadual;Executivo;2020-06-22 16:10:00.000
Sim;2;2;2;2;2;2;2;2;2;4;1;1;1;4;2;1;1;1;4;3;3;2;2;5;2;3;3;4;1;2;2;1;5;4;4;1;3;1;2;4;2;1;2;4;4;4;1;Feminino;1966 a 1975;Mestre;Entre 1 e 4 salários mínimos;Entre 26 e 30 anos;Educação;Estadual;Outro;2020-06-14 15:22:00.000
Sim;4;3;1;2;3;3;3;4;1;3;5;3;3;3;4;4;1;3;4;4;1;2;5;3;3;5;5;1;2;3;2;1;2;3;4;3;3;4;4;2;1;1;3;1;1;2;2;Masculino;1966 a 1975;Superior;Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Outro;2020-06-17 17:26:00.000
Sim;3;5;1;5;5;5;5;4;3;4;5;2;4;5;4;5;5;4;5;4;5;4;4;5;4;4;5;4;4;1;4;5;5;4;4;4;3;1;5;5;4;1;3;3;4;4;5;Feminino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Administrativa;Federal;Executivo;2020-06-16 06:30:00.000
Sim;4;4;4;3;3;3;5;5;4;5;5;4;4;5;3;5;3;1;5;5;1;4;4;5;4;4;4;5;4;2;4;5;5;5;4;2;2;3;4;5;2;4;4;5;4;4;4;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Educação;Federal;Executivo;2020-06-19 01:44:00.000
Sim;3;5;1;5;5;4;4;5;1;4;5;3;5;5;5;2;2;5;1;5;4;5;1;4;4;5;4;5;4;3;1;4;5;5;4;2;5;2;2;5;4;1;4;4;1;4;2;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-21 18:46:00.000
Sim;1;3;1;4;3;3;1;3;1;4;5;4;4;4;4;4;5;3;5;5;5;4;5;5;5;4;5;5;5;4;4;5;1;4;4;4;3;4;4;4;5;1;1;4;4;4;1;Masculino;1956 a 1965;Superior;Entre 1 e 4 salários mínimos;Acima de 35 anos;Administrativa;Estadual;Executivo;2020-06-02 20:23:00.000
Sim;5;1;5;5;1;1;5;1;1;1;5;1;1;5;5;1;1;5;5;5;5;5;5;5;5;5;1;5;5;1;1;1;5;5;5;1;5;1;2;5;5;1;1;5;5;5;5;Feminino;1956 a 1965;Superior;Entre 5 e 9 salários mínimos;Entre 31 e 35 anos;Outros;Estadual;Executivo;2020-07-10 08:25:00.000
Sim;4;1;1;5;4;4;1;3;4;2;1;5;4;1;5;5;4;1;5;4;2;2;2;3;1;5;1;5;5;4;4;1;4;5;3;5;4;4;5;4;5;2;2;5;4;4;2;Feminino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Administrativa;Municipal;Executivo;2020-07-07 13:49:00.000
Sim;2;2;5;3;1;1;2;2;2;1;4;5;2;3;3;2;5;2;1;2;3;2;5;4;5;5;4;2;2;5;4;2;1;4;2;5;1;5;4;2;2;5;3;2;2;1;5;Masculino;1956 a 1965;Mestre;Mais de 15 salários mínimos;Entre 31 e 35 anos;Outros;Estadual;Outro;2020-06-09 23:41:57.000
Sim;1;4;1;4;4;5;4;4;4;4;5;1;4;5;5;5;2;4;5;4;5;4;4;5;3;3;3;5;2;2;3;4;5;3;5;3;5;3;3;5;5;1;5;5;5;5;4;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 26 e 30 anos;Administrativa;Estadual;Outro;2020-06-06 02:29:08.000
Sim;5;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;1;1;5;5;1;5;5;5;5;5;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 21 e 25 anos;Segurança;Estadual;Executivo;2020-07-03 05:10:50.000
Sim;5;2;1;4;4;3;3;4;2;5;3;1;3;4;3;5;1;5;5;3;5;5;4;5;3;2;2;5;3;4;4;4;5;5;5;3;4;3;5;5;4;1;5;5;5;5;5;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Educação;Municipal;Outro;2020-06-25 18:24:00.000
Sim;4;4;1;3;3;1;4;5;3;5;4;4;1;4;4;5;5;4;5;5;4;4;5;5;4;4;5;5;1;4;1;4;5;4;5;1;5;1;4;5;5;4;5;4;4;5;1;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 21 e 25 anos;Administrativa;Estadual;Executivo;2020-06-26 16:25:00.000
Sim;4;4;1;5;5;1;4;5;2;5;4;1;5;4;1;4;1;4;5;5;5;4;4;5;3;4;4;4;4;4;1;5;4;5;5;1;4;5;4;5;2;1;5;4;4;4;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 21 e 25 anos;Segurança;Estadual;Executivo;2020-06-15 09:51:00.000
Sim;4;5;1;5;5;5;5;3;5;5;5;1;5;5;4;4;1;5;5;4;3;4;4;1;3;4;4;4;5;2;1;5;5;4;5;4;5;1;5;1;2;1;5;5;5;5;5;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 16 e 20 anos;Administrativa;Federal;Executivo;2020-06-14 16:34:00.000
Sim;4;5;5;4;4;4;4;4;5;4;4;2;4;5;4;5;3;5;4;3;4;2;2;4;2;4;4;5;4;2;4;4;5;3;4;2;3;5;2;4;5;2;5;3;3;3;2;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Administrativa;Federal;Outro;2020-06-18 17:14:00.000
Sim;1;4;3;5;2;2;5;4;4;4;5;3;4;5;4;4;1;5;4;1;4;2;3;4;4;2;5;5;5;2;3;1;4;3;5;5;3;1;3;5;5;1;5;5;2;5;4;Feminino;1966 a 1975;Superior;Mais de 15 salários mínimos;Entre 11 e 15 anos;Outros;Federal;Outro;2020-06-10 14:29:00.000
Sim;1;2;1;2;1;1;2;1;1;1;4;1;1;2;1;4;1;1;5;4;4;3;5;5;4;4;4;5;3;5;1;1;1;5;5;5;5;2;3;5;1;1;3;1;5;3;1;Masculino;1966 a 1975;Superior;Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Outro;2020-06-20 23:49:00.000
Sim;5;4;1;4;5;4;3;4;4;4;4;5;1;3;3;4;2;1;5;5;4;4;4;2;2;4;4;5;2;1;1;3;4;4;4;2;4;4;2;5;3;1;4;4;4;3;2;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 26 e 30 anos;Outros;Estadual;Executivo;2020-07-03 17:53:00.000
Sim;5;4;1;2;2;2;2;4;4;5;4;1;2;4;1;4;2;2;5;3;1;1;3;4;3;2;3;2;3;3;5;1;5;5;5;5;3;4;4;4;4;1;3;2;3;3;1;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Educação;Federal;Outro;2020-06-27 14:08:00.000
Sim;2;1;2;5;3;5;4;5;2;4;5;1;4;4;5;5;2;3;3;3;3;3;2;2;2;3;3;5;5;1;2;2;5;4;5;4;5;2;2;5;3;3;5;4;4;4;5;Masculino;1956 a 1965;Superior;Entre 10 e 14 salários mínimos;Entre 31 e 35 anos;Administrativa;Estadual;Executivo;2020-07-01 02:06:00.000
Sim;4;5;5;3;5;2;5;5;4;4;3;5;5;5;3;4;1;3;1;5;4;5;5;3;5;2;3;5;1;4;1;2;2;5;3;3;2;2;5;5;1;1;4;5;4;4;1;Masculino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Administrativa;Estadual;Executivo;2020-07-02 09:22:00.000
Sim;5;5;5;3;4;1;4;4;5;5;4;1;2;5;4;5;1;2;5;3;3;5;5;4;5;3;2;3;3;1;5;4;5;3;4;1;5;1;3;4;4;1;4;4;5;3;4;Feminino;1976 a 1985;Mestre;Entre 10 e 14 salários mínimos;Entre 6 e 10 anos;Administrativa;Federal;Executivo;2020-07-04 10:03:00.000
Sim;2;1;1;4;1;2;5;5;1;1;2;5;3;5;5;2;1;1;5;5;3;2;5;4;5;5;5;4;5;1;5;3;4;4;5;5;4;4;4;5;4;1;4;4;5;5;4;Feminino;1986 a 1995;Mestre;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Outros;Estadual;Executivo;2020-06-30 05:09:00.000
Sim;4;4;1;4;5;2;4;5;3;5;3;3;1;4;3;5;3;5;5;5;4;3;4;4;4;5;4;4;3;1;2;5;2;5;5;3;2;2;2;5;4;1;4;4;4;5;3;Feminino;1966 a 1975;Mestre;Entre 5 e 9 salários mínimos;Entre 6 e 10 anos;Administrativa;Federal;Executivo;2020-07-05 03:01:00.000
Sim;1;2;1;3;4;4;4;4;3;5;5;1;3;3;4;4;5;5;1;4;3;5;3;2;1;3;3;4;5;1;2;3;5;4;3;5;4;2;2;5;5;1;4;3;5;5;1;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-06-27 22:08:00.000
Sim;4;2;1;2;3;5;3;2;3;1;1;5;2;2;5;5;1;1;5;4;1;2;5;5;1;2;3;4;4;1;2;3;1;5;4;2;5;1;4;5;5;1;4;4;4;4;3;Feminino;1966 a 1975;Mestre;Entre 10 e 14 salários mínimos;Entre 16 e 20 anos;Administrativa;Federal;Executivo;2020-07-01 19:35:00.000
Sim;2;2;2;2;1;1;1;1;4;2;2;2;5;2;2;5;2;1;5;3;4;2;3;3;4;4;4;4;3;2;1;4;1;2;2;2;2;4;4;4;2;2;3;4;2;5;3;Feminino;1956 a 1965;Mestre;Entre 10 e 14 salários mínimos;Entre 6 e 10 anos;Educação;Estadual;Executivo;2020-06-25 06:25:00.000
Sim;3;2;4;2;2;2;2;1;1;2;4;5;5;4;3;3;3;2;5;3;3;4;2;5;5;5;5;4;4;5;1;1;2;2;2;4;1;5;5;4;1;5;2;2;2;2;1;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Municipal;Executivo;2020-06-28 05:42:00.000
Sim;2;2;1;3;3;1;5;4;4;5;5;1;5;5;5;5;1;5;5;4;5;2;5;4;4;5;4;4;5;2;1;3;2;2;5;2;3;2;1;4;4;1;5;4;3;4;1;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-27 11:12:00.000
Sim;2;5;1;3;5;1;3;3;3;1;1;5;1;3;3;3;1;3;3;3;3;2;3;3;2;2;3;3;3;3;1;3;3;3;3;1;2;1;1;3;3;3;3;3;5;3;1;Masculino;1956 a 1965;Mestre;Mais de 15 salários mínimos;Entre 11 e 15 anos;Administrativa;Municipal;Executivo;2020-06-26 14:20:00.000
Sim;2;1;1;1;3;3;3;5;1;2;2;2;2;5;3;2;1;5;5;5;3;5;3;4;4;4;5;5;5;1;3;5;3;2;4;3;4;1;3;5;2;1;2;5;5;5;3;Masculino;1956 a 1965;Técnico;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Outros;Municipal;Executivo;2020-07-05 04:32:00.000
Sim;4;4;2;5;5;1;4;4;2;5;1;1;4;4;4;4;1;5;5;5;5;4;4;5;4;5;5;5;5;1;2;5;5;4;5;2;3;1;1;5;4;1;5;5;4;4;2;Masculino;1976 a 1985;Superior;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Municipal;Executivo;2020-07-06 10:48:00.000
Sim;4;2;1;5;4;3;4;5;4;4;5;1;4;5;2;5;2;3;4;2;2;3;4;4;5;4;5;4;4;1;5;4;4;5;4;5;4;2;4;5;2;1;1;4;4;4;2;Feminino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Administrativa;Municipal;Executivo;2020-07-04 21:09:00.000
Sim;1;1;1;1;5;1;5;5;1;5;5;1;4;5;5;1;1;5;5;1;5;3;3;5;4;5;5;5;1;1;1;5;4;5;4;1;5;5;1;5;4;1;1;5;5;5;5;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Direito;Municipal;Executivo;2020-06-29 02:38:00.000
Sim;1;1;1;5;5;3;5;4;1;5;5;1;5;5;4;1;1;5;5;5;5;5;5;5;5;5;5;5;2;4;4;4;5;4;4;2;4;4;5;5;4;1;4;4;4;5;1;Masculino;1966 a 1975;Mestre;Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Educação;Estadual;Executivo;2020-07-03 04:10:00.000
Sim;4;5;2;1;3;4;1;2;4;4;3;4;1;3;2;5;1;3;5;3;4;5;5;5;3;4;3;3;4;1;2;5;4;3;3;3;3;3;2;4;4;1;3;4;4;4;3;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 26 e 30 anos;Outros;Municipal;Outro;2020-07-01 19:21:00.000
Sim;3;1;3;4;5;5;5;3;2;5;5;5;5;5;5;4;2;5;5;2;3;5;5;4;4;1;4;4;5;1;2;5;5;4;5;4;4;5;2;5;4;1;4;5;5;5;4;Masculino;1986 a 1995;Superior;Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Segurança;Estadual;Executivo;2020-07-10 04:36:00.000
Sim;1;1;1;5;5;5;5;5;1;5;5;1;1;5;4;3;1;5;5;4;5;5;5;4;5;1;5;2;4;1;1;5;5;5;4;2;4;3;5;4;5;1;3;4;1;4;5;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-07-10 07:16:00.000
Sim;5;3;5;4;5;5;3;3;3;4;4;3;5;5;5;4;3;4;5;5;4;2;5;5;3;4;3;4;5;3;1;5;5;5;4;4;1;4;4;4;5;3;2;4;1;4;5;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-06 10:37:00.000
Sim;5;4;2;1;1;1;1;1;4;5;1;2;1;4;1;4;2;1;2;5;2;1;1;1;1;4;2;4;2;4;1;3;3;3;1;2;2;5;3;3;2;3;3;3;5;3;3;Masculino;1976 a 1985;Mestre;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Executivo;2020-07-08 15:40:00.000
Sim;2;2;1;2;4;1;3;4;5;1;3;1;3;4;3;4;1;4;2;5;1;3;3;1;4;5;4;4;1;5;1;2;4;1;3;5;2;3;4;4;1;2;3;1;5;2;5;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Federal;Executivo;2020-06-06 05:02:00.000
Sim;4;3;1;4;5;2;4;3;2;3;2;2;1;2;2;4;2;4;5;4;2;2;2;1;3;4;3;3;3;3;2;3;3;3;3;3;3;1;4;4;2;1;5;2;4;2;4;Masculino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Administrativa;Estadual;Executivo;2020-06-01 16:49:00.000
Sim;5;5;3;5;3;2;3;2;5;4;4;2;4;5;3;5;2;3;5;5;4;5;2;4;5;5;2;3;4;4;4;3;5;5;4;3;5;5;4;4;3;1;4;3;3;1;4;Masculino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Administrativa;Federal;Executivo;2020-06-15 16:56:00.000
Sim;4;4;3;3;5;4;4;3;2;2;3;1;5;3;4;4;4;5;1;2;2;3;3;3;3;3;2;2;3;5;3;5;2;2;3;3;4;5;4;1;2;2;3;5;3;4;2;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 16 e 20 anos;Administrativa;Federal;Executivo;2020-06-19 04:39:00.000
Sim;5;5;1;5;5;3;5;5;4;2;3;1;5;5;5;4;5;4;5;5;4;4;3;4;4;1;5;5;5;1;1;5;1;1;5;3;5;1;1;5;4;1;4;4;5;5;4;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Mais de 15 salários mínimos;Entre 16 e 20 anos;Outros;Estadual;Executivo;2020-06-26 06:42:00.000
Sim;4;1;2;5;4;5;5;5;3;1;5;3;5;4;4;2;2;3;4;2;3;2;2;4;3;4;3;4;4;2;2;2;4;3;4;2;4;2;3;4;3;1;4;4;4;4;2;Masculino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Administrativa;Estadual;Executivo;2020-06-13 09:03:35.000
Sim;5;4;1;4;5;3;5;3;5;5;4;3;5;5;4;5;3;5;5;4;4;4;4;4;4;5;5;5;4;2;4;5;5;5;5;5;5;5;1;5;4;1;5;5;5;5;5;Masculino;1986 a 1995;Pós-graduado (Lato Sensu);Entre 5 e 9 salários mínimos;Entre 11 e 15 anos;Educação;Federal;Executivo;2020-06-20 14:46:00.000
Sim;4;3;1;4;3;4;2;5;3;5;5;2;5;2;5;2;3;1;5;5;4;4;5;4;2;3;3;5;4;4;4;4;4;3;4;4;4;3;3;5;4;1;4;2;4;5;4;Masculino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Educação;Municipal;Executivo;2020-06-21 10:53:00.000
Sim;4;4;1;4;4;4;3;3;4;3;3;1;3;3;3;4;1;3;4;4;4;5;4;1;3;3;2;4;4;1;2;3;5;3;4;4;4;1;2;5;4;4;4;4;4;3;4;Feminino;1986 a 1995;Superior;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Educação;Municipal;Executivo;2020-06-16 12:56:00.000
Sim;4;1;1;5;5;1;4;5;1;3;3;1;5;5;5;1;1;5;4;3;3;3;3;5;5;5;5;5;3;1;5;3;5;3;4;3;4;3;3;5;3;2;5;1;3;1;3;Feminino;1966 a 1975;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Educação;Estadual;Executivo;2020-06-26 20:07:00.000
Sim;2;2;4;3;2;2;5;4;2;3;4;2;2;3;3;4;2;1;3;4;4;3;4;4;1;2;2;4;3;3;2;4;4;3;4;3;3;4;3;4;2;3;3;3;1;4;3;Masculino;1966 a 1975;Mestre;Entre 10 e 14 salários mínimos;Entre 26 e 30 anos;Administrativa;Federal;Executivo;2020-06-26 11:50:00.000
Sim;1;1;5;5;1;2;1;1;1;1;1;1;1;1;1;1;1;1;5;4;5;4;4;3;4;4;4;4;2;1;4;5;4;1;4;1;1;1;4;4;5;1;4;2;4;4;4;Masculino;1956 a 1965;Pós-graduado (Lato Sensu);Entre 10 e 14 salários mínimos;Acima de 35 anos;Administrativa;Estadual;Executivo;2020-06-28 06:00:00.000
Sim;4;4;1;4;4;3;4;5;3;4;5;1;3;4;4;4;1;3;5;4;3;4;4;5;4;4;3;5;4;4;1;3;5;4;4;1;4;1;4;5;4;1;3;4;4;4;4;Masculino;1976 a 1985;Mestre;Entre 10 e 14 salários mínimos;Entre 11 e 15 anos;Outros;Estadual;Outro;2020-06-13 19:41:00.000
Sim;4;3;1;3;4;1;3;4;4;4;4;1;4;4;3;5;1;4;5;5;4;4;4;5;5;5;5;4;4;1;2;4;4;2;4;4;4;4;4;4;4;1;4;5;4;4;4;Feminino;1986 a 1995;Superior;Entre 5 e 9 salários mínimos;Entre 0 e 5 anos;Administrativa;Municipal;Executivo;2020-06-21 23:59:00.000
Sim;4;1;1;5;4;3;4;4;4;4;4;3;4;3;4;4;5;4;5;4;4;4;4;3;5;4;4;4;5;4;3;4;5;5;4;3;4;3;4;4;3;1;3;3;3;3;5;Feminino;1976 a 1985;Superior;Entre 1 e 4 salários mínimos;Entre 0 e 5 anos;Fiscal;Municipal;Executivo;2020-06-21 07:36:00.000
Sim;5;4;1;5;4;4;4;4;4;4;4;3;4;4;4;5;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;5;4;2;4;4;5;5;2;Masculino;1976 a 1985;Pós-graduado (Lato Sensu);Entre 1 e 4 salários mínimos;Entre 6 e 10 anos;Administrativa;Municipal;Executivo;2020-06-22 04:28:00.000
Sim;4;2;1;3;4;3;1;3;2;2;3;3;4;4;4;4;4;4;5;5;5;5;5;1;5;5;5;5;5;1;3;5;5;3;5;5;4;3;4;2;5;1;4;3;3;4;3;Masculino;1966 a 1975;Superior;Entre 1 e 4 salários mínimos;Entre 11 e 15 anos;Educação;Estadual;Executivo;2020-06-22 08:26:00.000
